13:11:07 rss=3784240KB free=6315MB
13:11:37 rss=3784240KB free=6315MB
13:12:07 rss=3784240KB free=6318MB
13:12:37 rss=3784240KB free=6318MB
13:13:07 rss=3784240KB free=6324MB
13:13:37 rss=3784240KB free=6328MB
13:14:07 rss=3784240KB free=6332MB
13:14:37 rss=3784240KB free=6332MB
13:15:08 rss=3784240KB free=6330MB
13:15:38 rss=3784240KB free=6331MB
13:16:08 rss=3784240KB free=8806MB
exit=0
